Timestamp,ctrltarget.mode_pitch,ctrltarget.mode_quat,ctrltarget.mode_roll,ctrltarget.mode_x,ctrltarget.mode_y,ctrltarget.mode_yaw,ctrltarget.mode_z
281079,1,0,1,0,0,2,0
281179,1,0,1,0,0,2,0
281279,1,0,1,0,0,2,0
281379,1,0,1,0,0,2,0
281479,1,0,1,0,0,2,0
281579,1,0,1,0,0,2,0
281679,1,0,1,0,0,2,0
281779,1,0,1,0,0,2,0
281879,1,0,1,0,0,2,0
281979,1,0,1,0,0,2,0
282079,1,0,1,0,0,2,0
282179,1,0,1,0,0,2,0
282279,1,0,1,0,0,2,0
282379,1,0,1,0,0,2,0
282479,1,0,1,0,0,2,0
282579,1,0,1,0,0,2,0
282679,1,0,1,0,0,2,0
282779,1,0,1,0,0,2,0
282879,1,0,1,0,0,2,0
282979,1,0,1,0,0,2,0
283079,1,0,1,0,0,2,0
283179,1,0,1,0,0,2,0
283279,1,0,1,0,0,2,0
283379,1,0,1,0,0,2,0
283479,1,0,1,0,0,2,0
283579,1,0,1,0,0,2,0
283679,1,0,1,0,0,2,0
283779,1,0,1,0,0,2,0
283879,1,0,1,0,0,2,0
283979,1,0,1,0,0,2,0
284079,1,0,1,0,0,2,0
284179,0,0,0,2,2,2,1
284279,0,0,0,2,2,2,1
284379,0,0,0,2,2,2,1
284479,0,0,0,2,2,2,1
284579,0,0,0,2,2,2,1
284679,0,0,0,2,2,2,1
284779,0,0,0,2,2,2,1
284879,0,0,0,2,2,2,1
284979,0,0,0,2,2,2,1
285079,1,0,1,0,0,2,0
285179,1,0,1,0,0,2,0
285279,1,0,1,0,0,2,0
285379,1,0,1,0,0,2,0
285479,1,0,1,0,0,2,0
285579,1,0,1,0,0,2,0
285679,1,0,1,0,0,2,0
285779,1,0,1,0,0,2,0
285879,1,0,1,0,0,2,0
285979,1,0,1,0,0,2,0
286079,1,0,1,0,0,2,0
286179,1,0,1,0,0,2,0
286279,1,0,1,0,0,2,0
286379,1,0,1,0,0,2,0
286479,1,0,1,0,0,2,0
286579,1,0,1,0,0,2,0
286679,1,0,1,0,0,2,0
286779,1,0,1,0,0,2,0
286879,1,0,1,0,0,2,0
286979,1,0,1,0,0,2,0
287079,1,0,1,0,0,2,0
287179,1,0,1,0,0,2,0
287279,1,0,1,0,0,2,0
287379,1,0,1,0,0,2,0
287479,1,0,1,0,0,2,0
287579,1,0,1,0,0,2,0
287679,1,0,1,0,0,2,0
287779,1,0,1,0,0,2,0
287879,1,0,1,0,0,2,0
287979,1,0,1,0,0,2,0
288079,1,0,1,0,0,2,0
288179,1,0,1,0,0,2,0
288279,1,0,1,0,0,2,0
288379,1,0,1,0,0,2,0
288479,1,0,1,0,0,2,0
288579,1,0,1,0,0,2,0
288679,1,0,1,0,0,2,0
288779,1,0,1,0,0,2,0
288879,1,0,1,0,0,2,0
288979,1,0,1,0,0,2,0
289079,1,0,1,0,0,2,0
289179,1,0,1,0,0,2,0
289279,1,0,1,0,0,2,0
289379,1,0,1,0,0,2,0
289479,1,0,1,0,0,2,0
289579,1,0,1,0,0,2,0
289679,1,0,1,0,0,2,0
289779,1,0,1,0,0,2,0
289879,1,0,1,0,0,2,0
289979,1,0,1,0,0,2,0
290079,1,0,1,0,0,2,0
290179,1,0,1,0,0,2,0
290279,1,0,1,0,0,2,0
290379,1,0,1,0,0,2,0
290479,1,0,1,0,0,2,0
290579,1,0,1,0,0,2,0
290679,0,0,0,0,0,0,0
290779,1,0,1,0,0,2,0
290879,1,0,1,0,0,2,0
290979,1,0,1,0,0,2,0
291079,1,0,1,0,0,2,0
291179,1,0,1,0,0,2,0
291279,1,0,1,0,0,2,0
291379,1,0,1,0,0,2,0
291479,1,0,1,0,0,2,0
291579,1,0,1,0,0,2,0
291679,1,0,1,0,0,2,0
291779,1,0,1,0,0,2,0
291879,1,0,1,0,0,2,0
291979,1,0,1,0,0,2,0
292079,1,0,1,0,0,2,0
292179,1,0,1,0,0,2,0
292279,1,0,1,0,0,2,0
292379,1,0,1,0,0,2,0
292479,1,0,1,0,0,2,0
292579,1,0,1,0,0,2,0
292679,1,0,1,0,0,2,0
292779,1,0,1,0,0,2,0
292879,1,0,1,0,0,2,0
292979,1,0,1,0,0,2,0
293079,1,0,1,0,0,2,0
293179,1,0,1,0,0,2,0
293279,1,0,1,0,0,2,0
293379,1,0,1,0,0,2,0
293479,1,0,1,0,0,2,0
293579,1,0,1,0,0,2,0
293679,1,0,1,0,0,2,0
293779,1,0,1,0,0,2,0
293879,1,0,1,0,0,2,0
293979,1,0,1,0,0,2,0
294079,1,0,1,0,0,2,0
294179,1,0,1,0,0,2,0
294279,1,0,1,0,0,2,0
294379,1,0,1,0,0,2,0
294479,1,0,1,0,0,2,0
294579,1,0,1,0,0,2,0
294679,1,0,1,0,0,2,0
294779,1,0,1,0,0,2,0
294879,1,0,1,0,0,2,0
294979,1,0,1,0,0,2,0
295079,1,0,1,0,0,2,0
295179,1,0,1,0,0,2,0
295279,1,0,1,0,0,2,0
295379,1,0,1,0,0,2,0
295479,1,0,1,0,0,2,0
295579,1,0,1,0,0,2,0
295679,1,0,1,0,0,2,0
295779,1,0,1,0,0,2,0
295879,1,0,1,0,0,2,0
295979,1,0,1,0,0,2,0
296079,1,0,1,0,0,2,0
296179,1,0,1,0,0,2,0
296279,1,0,1,0,0,2,0
296379,1,0,1,0,0,2,0
296479,1,0,1,0,0,2,0
296579,1,0,1,0,0,2,0
296679,1,0,1,0,0,2,0
296779,1,0,1,0,0,2,0
